Event,Team,Date,Time,Location,Description
Basketball Game,JACKHAMMERS,1/26/2013,1:00 PM,Salem Middle School,THUNDERBOLTS VS JACKHAMMERS
Basketball Game,PYTHONS,1/26/2013,2:00 PM,Salem Middle School,PYTHONS VS BEARS
Basketball Game,BEARS,1/26/2013,2:00 PM,Salem Middle School,PYTHONS VS BEARS
Basketball Game,BOBCATS,1/26/2013,3:00 PM,Salem Middle School,BOBCATS VS TIGERS
Basketball Game,TIGERS,1/26/2013,3:00 PM,Salem Middle School,BOBCATS VS TIGERS
Basketball Game,MATADORS,1/26/2013,4:00 PM,Salem Middle School,MATADORS VS BAZOOKAS
Basketball Game,BAZOOKAS,1/26/2013,4:00 PM,Salem Middle School,MATADORS VS BAZOOKAS
Basketball Game,JUGGERNAUTS,2/2/2013,9:00 AM,Salem Middle School,JUGGERNAUTS VS BISONS
Basketball Practice,BISONS,12/15/2012,9:00 AM,Salem Middle School,PRAIRIE DOGS / BISONS
Basketball Game,YELLOW JACKETS,2/2/2013,10:00 AM,Salem Middle School,YELLOW JACKETS VS MATADORS
Basketball Game,MATADORS,2/2/2013,10:00 AM,Salem Middle School,YELLOW JACKETS VS MATADORS
Basketball Game,KINGS,2/2/2013,11:00 AM,Salem Middle School,KINGS VS PRAIRIE DOGS
Basketball Game,PRAIRIE DOGS,2/2/2013,11:00 AM,Salem Middle School,KINGS VS PRAIRIE DOGS
Basketball Game,TIGERS,2/2/2013,12:00 PM,Salem Middle School,TIGERS VS JACKHAMMERS
Basketball Game,JACKHAMMERS,2/2/2013,12:00 PM,Salem Middle School,TIGERS VS JACKHAMMERS
Basketball Game,THUNDERBOLTS,2/2/2013,1:00 PM,Salem Middle School,THUNDERBOLTS VS BUZZSAWS
Basketball Game,BUZZSAWS,2/2/2013,1:00 PM,Salem Middle School,THUNDERBOLTS VS BUZZSAWS
Basketball Game,BEARS,2/2/2013,2:00 PM,Salem Middle School,BEARS VS ZIPS
Basketball Game,ZIPS,2/2/2013,2:00 PM,Salem Middle School,BEARS VS ZIPS
Basketball Game,VOLCANOS,2/2/2013,3:00 PM,Salem Middle School,VOLCANOS VS PYTHONS
Basketball Game,PYTHONS,2/2/2013,3:00 PM,Salem Middle School,VOLCANOS VS PYTHONS
Basketball Game,BOBCATS,2/2/2013,4:00 PM,Salem Middle School,BOBCATS VS BAZOOKAS
Basketball Game,BAZOOKAS,2/2/2013,4:00 PM,Salem Middle School,BOBCATS VS BAZOOKAS
Basketball Game,BEARS,2/9/2013,9:00 AM,Salem Middle School,BEARS VS TIGERS
Basketball Game,TIGERS,2/9/2013,9:00 AM,Salem Middle School,BEARS VS TIGERS
Basketball Game,THUNDERBOLTS,2/9/2013,10:00 AM,Salem Middle School,THUNDERBOLTS VS ZIPS
Basketball Game,ZIPS,2/9/2013,10:00 AM,Salem Middle School,THUNDERBOLTS VS ZIPS
Basketball Practice,BISONS,12/31/2012,8:00 PM,Salem Middle School,BOBCATS / VOLCANOS / JUGGERNAUTS / BISONS
Basketball Game,PYTHONS,2/9/2013,11:00 AM,Salem Middle School,BISONS VS PYTHONS
Basketball Game,YELLOW JACKETS,2/9/2013,12:00 PM,Salem Middle School,YELLOW JACKETS VS BOBCATS
Basketball Game,BOBCATS,2/9/2013,12:00 PM,Salem Middle School,YELLOW JACKETS VS BOBCATS
Basketball Game,KINGS,2/9/2013,1:00 PM,Salem Middle School,KINGS VS MATADORS
